CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-013623,qu-07-124284,37-02 MAIN STREET,37 AVENUE,38 AVENUE,Queens,11354,407,20,Yes,Downtown Flushing,C4-3,Flushing,4087100,4112290,4049740027,40.761430,-73.831167,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.76142994, -73.83116679)"
LINK-012159,qu-07-141962,161-03 NORTHERN BOULEVARD,161 STREET,CROCHERON AVENUE,Queens,11358,407,19,No,,C1-2,Murray Hill,4117100,4119429,4052817501,40.762653,-73.804478,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76265343, -73.80447791)"
LINK-014449,qu-07-124424,160-02 NORTHERN BOULEVARD,160 STREET,161 STREET,Queens,11358,407,20,No,,C1-2,Murray Hill,4117100,4120445,4053350048,40.762730,-73.805388,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76272985, -73.80538763)"
LINK-011022,qu-07-140184,158-14 NORTHERN BOULEVARD,159 STREET,158 STREET,Queens,11358,407,20,No,,C1-2,Murray Hill,4117100,4119366,4052770025,40.763140,-73.806597,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76314008, -73.8065974)"
LINK-013585,qu-07-124339,135-25 NORTHERN BOULEVARD,MAIN STREET,PRINCE STREET,Queens,11354,407,20,No,,C2-2,Flushing,4086900,4112125,4049580055,40.763163,-73.832288,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.76316325, -73.83228829)"
LINK-010598,qu-07-130506,35-27 FARRINGTON STREET,35 AVENUE,NORTHERN BOULEVARD,Queens,11354,407,20,No,,C2-2,Flushing,4086900,4311689,4049590004,40.763461,-73.831292,03/15/2018 12:00:00 AM,09/15/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76346093, -73.83129225)"
LINK-011804,qu-07-144732,137-35 NORTHERN BOULEVARD,LINDEN PLACE,LEAVITT STREET,Queens,11354,407,20,No,,C2-2,Flushing,4086900,4112147,4049600001,40.763646,-73.830098,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76364577, -73.8300977)"
LINK-014620,qu-07-124421,155-14 ROOSEVELT AVENUE,NORTHERN BOULEVARD,155 STREET,Queens,11354,407,20,No,,C1-2,Murray Hill,4117100,4119346,4052750132,40.763955,-73.809483,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76395477, -73.80948298)"
LINK-014632,qu-07-137929,35-34 PARSONS BOULEVARD,NORTHERN BOULEVARD,35 AVENUE,Queens,11354,407,20,No,,C1-2,Flushing,4116100,4113179,4050020074,40.764834,-73.823610,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76483366, -73.82361026)"
LINK-013142,qu-07-124357,144-73 NORTHERN BOULEVARD,146 STREET,PARSONS BOULEVARD,Queens,11354,407,20,No,,C1-2,Murray Hill,4116300,4113195,4050030041,40.765067,-73.820900,03/30/2018 12:00:00 AM,09/30/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76506671, -73.82089974)"
LINK-013627,qu-07-124349,150-32 NORTHERN BOULEVARD,150 PLACE,150 STREET,Queens,11354,407,20,No,,C2-2,Murray Hill,4115700,4114069,4050330014,40.765068,-73.813888,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76506827, -73.81388841)"
LINK-010426,qu-07-138935,35-97 146 STREET,NORTHERN BOULEVARD,35 AVENUE,Queens,11354,407,20,No,,C1-2,Murray Hill,4116300,,4050040001,40.765136,-73.820636,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76513575, -73.82063559)"
LINK-013153,qu-07-124348,147-50 NORTHERN BOULEVARD,149 STREET,147 STREET,Queens,11354,407,20,No,,C1-2,Murray Hill,4116300,4000000,4050160039,40.765252,-73.817446,03/14/2018 12:00:00 AM,09/14/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.76525205, -73.81744596)"
