GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
11/06/2017,LINK-021074,40.75727,-73.83412,Queens,C4-2,20,407,4022 College Point Blvd,40 Rd,Roosevelt Ave,NW,11354,,No,N,Flushing,82486,01/19/2018,03/20/2018,,,4050667501,4087100,"(40.75726607179531, -73.8341221841556)"
11/06/2017,LINK-021094,40.75901,-73.83467,Queens,C4-2,20,407,3752 College Point Blvd,39th Ave,37th Ave,NW,11354,,No,N,Flushing,82487,01/19/2018,03/20/2018,,,4049630075,4087100,"(40.75901188, -73.83467085)"
11/08/2017,LINK-021095,40.76029,-73.83507,Queens,C4-2,20,407,3630 College Point Blvd,37th Ave,36th Rd,NW,11354,,No,N,Flushing,82489,01/19/2018,03/20/2018,,,4049630085,4087100,"(40.76028801, -73.83506646)"
08/25/2017,LINK-021098,40.68532,-73.97543,Brooklyn,C6-4,35,302,625 Atlantic Avenue,S Elliot Place,Fort Greene Place,SW,11217,MetroTech,Yes,N,Fort Greene,82268,12/14/2017,02/12/2018,,,3020020001,3003500,"(40.68532405, -73.97543272)"
08/21/2017,LINK-021104,40.69641,-73.93409,Brooklyn,C2-3,34,304,984 BROADWAY,VERNON AVENUE,DITMARS STREET,SE,11221,,No,N,Bushwick South,82203,11/16/2017,01/15/2018,,3425064,3031930018,3039300,"(40.69640708, -73.93408552)"
09/07/2017,LINK-021108,40.70213,-73.93699,Brooklyn,M1-1,34,301,455 BUSHWICK AVENUE,COOK STREET,FLUSHING AVENUE,NE,11206,,No,N,Bushwick South,82286,11/16/2017,01/15/2018,,3000000,3031230002,3048500,"(40.70212685, -73.93698638)"
09/15/2017,LINK-021117,40.69860,-73.91991,Brooklyn,C2-3,37,304,1390 MYRTLE AVENUE,HARMAN STREET,GREENE AVENUE,SE,11237,,No,N,Bushwick North,82311,11/16/2017,01/15/2018,,,3032870001,3043100,"(40.698595, -73.91991)"
10/02/2017,LINK-021193,40.69091,-73.99611,Brooklyn,C1-3,33,302,311 HENRY STREET,Atlantic Avenue,State Street,NE,11201,Atlantic Avenue,Yes,Y,Brooklyn Heights-Cobble Hill,82351,12/14/2017,02/12/2018,,,3002750024,3000700,"(40.69091128953986, -73.9961101661388)"
09/15/2017,LINK-021129,40.69912,-73.91586,Brooklyn,C2-3,37,304,1493 MYRTLE AVENUE,MENAHAN STREET,GROVE STREET,NE,11237,,No,N,Bushwick North,82312,11/16/2017,01/15/2018,,3398663,3033180008,3043300,"(40.69911722, -73.91585918)"
09/15/2017,LINK-021131,40.69908,-73.91525,Brooklyn,C2-3,37,304,1480 MYRTLE AVENUE,MENAHAN STREET,GROVE STREET,SW,11237,,No,N,Bushwick North,82314,11/16/2017,01/15/2018,,3000000,3033170031,3043300,"(40.69908, -73.91525)"
08/21/2017,LINK-021133,40.70353,-73.94695,Brooklyn,C2-3,33,301,610 BROADWAY,WALTON STREET,MOORE STREET,,11206,,No,N,Bedford,82205,11/16/2017,01/15/2018,,3335406,3022517504,3050700,"(40.70353, -73.94695)"
10/11/2017,LINK-021146,40.68902,-73.99063,Brooklyn,C2-4,33,302,252 ATLANTIC AVENUE,BOERUM PLACE,SMITH STREET,SE,11201,Atlantic Avenue,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82400,12/14/2017,02/12/2018,,,3001810001,3004300,"(40.68901511, -73.99063086)"
