GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
11/21/2017,LINK-021732,40.76680,-73.95997,Manhattan,C1-9,4,108,1311 2 AVENUE,E 69 ST,E 68 ST,NE,10065,,No,N,Lenox Hill-Roosevelt Island,82511,01/10/2018,03/11/2018,,,1014230010,1011800,"(40.76680272, -73.95996593)"
11/21/2017,LINK-021734,40.77056,-73.98395,Manhattan,C4-7,3,107,40 COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,MIDBLOCK,10023,Lincoln Square,Yes,N,Lincoln Square,82515,02/02/2018,04/03/2018,,,1011320001,1014500,"(40.77055621, -73.98394815)"
11/21/2017,LINK-021735,40.76753,-73.95951,Manhattan,C1-9,4,108,226 East 70 Street,2nd Avenue,3rd Avenue,NE,10021,,No,N,Lenox Hill-Roosevelt Island,82512,01/10/2018,03/11/2018,,,1014247501,1012600,"(40.76752558, -73.95951151)"
11/21/2017,LINK-021736,40.76936,-73.98480,Manhattan,C4-7,3,107,2 COLUMBUS AVENUE,WEST 59 STREET,WEST 60 STREET,SW,10023,,No,N,Lincoln Square,82519,02/02/2018,04/03/2018,,,1011317501,1014500,"(40.76936432, -73.98479693)"
09/28/2017,LINK-021737,40.78320,-73.95266,Manhattan,C1-8X,5,108,142 EAST 92 STREET,Lexington Ave,3 Ave,SE,10128,,No,N,Upper East Side-Carnegie Hill,82374,01/10/2018,03/11/2018,,,1015200050,1015801,"(40.783196, -73.952658)"
11/21/2017,LINK-021738,40.77670,-73.95279,Manhattan,C1-9,5,108,1623 2nd AVENUE,E 84 ST,E 85 ST,SW,10028,,No,N,Yorkville,82513,01/10/2018,03/11/2018,,,1015300021,1014601,"(40.77669755, -73.95278704)"
11/21/2017,LINK-021744,40.78125,-73.94946,Manhattan,C2-8,5,108,1749 2nd Ave,E 91 ST,E 92 ST,SW,10128,,No,N,Yorkville,82514,01/10/2018,03/11/2018,,,1015370022,1015400,"(40.781254419740065, -73.94945977262506)"
11/21/2017,LINK-021745,40.78178,-73.94928,Manhattan,C2-8,5,108,1763 2nd Avenue,2nd Ave,3rd Ave,SW,10128,,No,N,Yorkville,82520,01/10/2018,03/11/2018,,,1015370022,1015400,"(40.78178156660047, -73.94928023988115)"
11/21/2017,LINK-021746,40.76956,-73.95768,Manhattan,C1-9,5,108,1404 2nd AVENUE,E 73 ST,E 74 ST,SW,10021,,No,N,Lenox Hill-Roosevelt Island,82518,01/10/2018,03/11/2018,,,1014480001,1012600,"(40.769562948626955, -73.95767632459632)"
11/21/2017,LINK-021748,40.78248,-73.94857,Manhattan,C2-8,5,108,1802 2nd AVENUE,E 93 St,E 94 St,NW,10128,,No,N,Yorkville,82517,01/10/2018,03/11/2018,,,1015397501,1015400,"(40.78248289, -73.94857106)"
11/21/2017,LINK-021749,40.77003,-73.98448,Manhattan,C4-7,3,107,111 WEST 60 STREET,COLUMBUS AVENUE,10 AVENUE,SE,10023,Lincoln Square,Yes,N,Lincoln Square,82516,02/02/2018,04/03/2018,,,1011320001,1014500,"(40.77003295, -73.98447791)"
12/07/2017,LINK-021754,40.77759,-73.95213,Manhattan,C2-8A,5,108,1645 2 AVENUE,EAST 85 STREET,EAST 86 STREET,SE,10028,,No,N,Yorkville,82547,01/10/2018,03/11/2018,,,1015310028,1014601,"(40.777587, -73.95213313)"
09/28/2017,LINK-021761,40.78971,-73.94832,Manhattan,C1-5,8,111,126 EAST 102 STREET,Lexington Ave,Park Ave,SW,10029,,No,N,East Harlem South,82376,02/02/2018,04/03/2018,,,1016290059,1016600,"(40.789708, -73.948323)"
09/28/2017,LINK-021778,40.79105,-73.94737,Manhattan,C1-5,8,111,131 EAST 104 STREET,Lexington Ave,Park Ave,NW,10029,,No,N,East Harlem South,82369,02/02/2018,04/03/2018,,,1016320015,1016600,"(40.791054, -73.947371)"
09/28/2017,LINK-021782,40.79809,-73.94234,Manhattan,C1-4,8,111,135 EAST 115 STREET,LEXINGTON AVENUE,PARK AVENUE,NW,10029,,No,N,East Harlem North,82364,02/02/2018,04/03/2018,,,1016430015,1018200,"(40.79809105, -73.94233669)"
09/28/2017,LINK-021792,40.80054,-73.94004,Manhattan,C1-4,8,111,147 EAST 119 STREET,LEXINGTON AVENUE,3 AVENUE,NE,10035,,No,N,East Harlem North,82377,02/02/2018,04/03/2018,,,1017680021,1019600,"(40.80053996, -73.9400383)"
09/28/2017,LINK-021793,40.80106,-73.93976,Manhattan,C1-4,8,111,160 EAST 120 STREET,LEXINGTON AVENUE,PARK AVENUE,SE,10035,,No,N,East Harlem North,82365,02/02/2018,04/03/2018,,,1017680021,1019600,"(40.80105743, -73.93975846)"
09/28/2017,LINK-021799,40.80435,-73.93713,Manhattan,C4-4D,9,111,145 EAST 125 STREET,LEXINGTON AVENUE,3 AVENUE,NE,10035,,No,N,East Harlem North,82366,02/02/2018,04/03/2018,,,1017740020,1019600,"(40.80434771, -73.93713223)"
09/07/2017,LINK-022125,40.65223,-74.00679,Brooklyn,C2-4,38,307,3918 4 AVENUE,40 STREET,39 STREET,NW,11232,,No,N,Sunset Park West,82291,12/01/2017,01/30/2018,,,3007080042,3008400,"(40.652226461519, -74.006787869499)"
09/07/2017,LINK-022128,40.65171,-74.00734,Brooklyn,C2-4,38,307,4004 4th Ave,41st St,40th St,NW,11232,,No,N,Sunset Park West,82292,12/01/2017,01/30/2018,,,3007130020,3008200,"(40.65171375261666, -74.00733818672126)"
09/07/2017,LINK-022129,40.64946,-74.00968,Brooklyn,C2-4,38,307,4422 4th Ave,45 ST,44 ST,NW,11220,,No,N,Sunset Park West,82293,12/01/2017,01/30/2018,,,3007370046,3008000,"(40.64946398587837, -74.0096830007488)"
10/11/2017,LINK-022392,40.73836,-73.88447,Queens,M1-1,25,404,79-01 Queens Blvd,BARNWELL AVE,CORNISH AVE,NE,11373,,No,N,Elmhurst-Maspeth,82422,12/27/2017,02/25/2018,,,4015380010,4048500,"(40.73836495, -73.88446867)"
10/06/2017,LINK-022394,40.73809,-73.88254,Queens,C2-3,25,404,81-01 DONGAN AVENUE,Queens Blvd,Poyer St,NW,11373,,No,N,Elmhurst-Maspeth,82396,12/27/2017,02/25/2018,,,4015390001,4048500,"(40.738091, -73.882544)"
10/06/2017,LINK-022395,40.73777,-73.88131,Queens,C2-3,25,404,82-11 Queens Blvd,51 Ave,Van Loon St,NE,11373,,No,N,Elmhurst,82387,12/27/2017,02/25/2018,,,4015420001,4047300,"(40.73776661, -73.88130723)"
08/25/2017,LINK-023350,40.68090,-73.95428,Brooklyn,C2-4,36,303,1183 FULTON STREET,BEDFORD AVENUE,SPENCER PLACE,NE,11216,Bed-Stuy Gateway,Yes,N,Clinton Hill,82248,10/13/2017,12/12/2017,,3057469,3020000045,3022700,"(40.6809019176, -73.9542798545)"
08/25/2017,LINK-023351,40.68254,-73.96271,Brooklyn,C2-4,35,302,950 Fulton St,Cambridge Place,St James Place,MIDBLOCK,11238,Fulton Area,Yes,N,Clinton Hill,82249,12/14/2017,02/12/2018,,,3020140019,3020100,"(40.682535668131756, -73.96271274076253)"
11/29/2017,LINK-023352,40.80152,-73.95759,Manhattan,C1-4,9,110,2053 FREDERICK DOUGLASS BOULEVARD,WEST 111 STREET,WEST 112 STREET,MIDBLOCK,10026,,No,N,Central Harlem South,82577,02/16/2018,04/17/2018,,,1018460044,1019702,"(40.8015159481, -73.9575897199)"
11/29/2017,LINK-023356,40.78833,-73.94719,Manhattan,C1-5,8,111,1810 3 AVENUE,EAST 100 STREET,EAST 101 STREET,SW,10029,,No,N,East Harlem South,82529,02/02/2018,04/03/2018,,,1016281201,1016600,"(40.7883251254, -73.9471880729)"
09/15/2017,LINK-023359,40.67846,-73.91512,Brooklyn,C2-3,41,316,2082 FULTON STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,MIDBLOCK,11233,,No,N,Ocean Hill,82323,11/16/2017,01/15/2018,,3042157,3015500001,3030100,"(40.6784554053, -73.9151210092)"
08/30/2017,LINK-023362,40.69466,-73.99056,Brooklyn,C6-1,33,302,324 CADMAN PLAZA WEST,PIERREPONT ST,JOHNSON ST,NE,11201,Court-Livingston-Schermerhorn,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82284,12/14/2017,02/12/2018,,,3001390001,3001100,"(40.694656174536426, -73.990559352209)"
09/07/2017,LINK-023363,40.69517,-73.98856,Brooklyn,C6-4,33,302,259 ADAMS STREET,Johnson Street,Tillary Street,NE,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82296,12/14/2017,02/12/2018,,,3001280001,3001300,"(40.69516938189095, -73.98856390037747)"
08/25/2017,LINK-023364,40.69018,-73.98693,Brooklyn,C5-4,33,302,177 LIVINGSTON STREET,Gallatin Place,Hoyt Street,NE,11201,Fulton Mall,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82253,12/14/2017,02/12/2018,,,3001567501,3003700,"(40.69018087647864, -73.9869319767771)"
08/25/2017,LINK-023365,40.68936,-73.98454,Brooklyn,C5-4,33,302,25 Elm Pl,Livingston Street,Fulton Street,NE,11201,Fulton Mall,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82251,12/14/2017,02/12/2018,,,3001580001,3003700,"(40.68935631278674, -73.98453793903309)"
08/25/2017,LINK-023366,40.68755,-73.97769,Brooklyn,C6-1,35,302,622 FULTON STREET,St Felix Street,Ashland Place,SW,11217,Fulton Area,Yes,N,Fort Greene,82256,12/14/2017,02/12/2018,,,3021080001,3003300,"(40.6875468, -73.97769175)"
08/25/2017,LINK-023370,40.68635,-73.97935,Brooklyn,C6-2,33,302,378 Schermerhorn St,Flatbush Avenue,3rd Avenue,NW,11217,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82250,12/14/2017,02/12/2018,,,3001740009,3003900,"(40.6863472638, -73.9793545076)"
10/02/2017,LINK-023625,40.68495,-73.97824,Brooklyn,C2-4,33,302,120 Flatbush Ave,4th Ave,State St,NW,11217,Atlantic Avenue,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82344,12/14/2017,02/12/2018,,,3001807501,3003900,"(40.68494878, -73.97823701)"
10/02/2017,LINK-023629,40.68595,-73.97898,Brooklyn,C6-2,33,302,98 FLATBUSH AVENUE,SCHERMERHORN STREET,STATE STREET,MIDBLOCK,11217,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82343,12/14/2017,02/12/2018,,,3001740018,3003900,"(40.68595228486603, -73.97898018163937)"
09/07/2017,LINK-023710,40.65115,-73.94110,Brooklyn,C2-2,45,317,3824 Church Avenue,E 39th Street,E 38th Street,SW,11203,,No,N,East Flatbush-Farragut,82297,01/10/2018,03/11/2018,,,3048920010,3085800,"(40.651149, -73.941099)"
09/07/2017,LINK-023711,40.65138,-73.93925,Brooklyn,C2-2,41,317,4023 Church Ave,Albany Ave,E 40 St,NW,11203,,No,N,East Flatbush-Farragut,82294,01/10/2018,03/11/2018,,,3048770033,3081400,"(40.651385, -73.939253)"
09/15/2017,LINK-023712,40.65139,-73.93656,Brooklyn,C2-2,45,317,4310 Church Avenue,TROY AVENUE,EAST 43 STREET,SW,11203,,No,N,East Flatbush-Farragut,82315,01/10/2018,03/11/2018,,,3048970007,3085800,"(40.651387692906944, -73.93656474603273)"
09/07/2017,LINK-023714,40.68554,-73.97837,Brooklyn,C6-2,35,302,113 FLATBUSH AVENUE,State St,Schermerhorn St,NW,11217,MetroTech,Yes,N,Fort Greene,82308,12/14/2017,02/12/2018,,,3021100003,3003500,"(40.68554008664636, -73.97837113185983)"
10/03/2017,LINK-023716,40.76899,-73.91219,Queens,C2-3,22,401,37-20 Astoria Blvd South,38 Street,37 Street,SW,11103,,No,N,Astoria,82419,12/01/2017,01/30/2018,,,4006530050,4006502,"(40.768987, -73.912191)"
11/29/2017,LINK-023782,40.80469,-73.95166,Manhattan,C1-4,9,110,1960 7th AVENUE,WEST 118 STREET,WEST 119 STREET,NW,10026,,No,N,Central Harlem South,82534,02/16/2018,04/17/2018,,,1019240029,1022000,"(40.8046929, -73.95165759)"
11/29/2017,LINK-023792,40.80866,-73.94737,Manhattan,C4-7,9,110,163 WEST 125 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,MIDBLOCK,10027,125th Street,Yes,N,Central Harlem South,82535,02/16/2018,04/17/2018,,,1019100001,1022200,"(40.8086645, -73.94737322)"
11/29/2017,LINK-023793,40.80945,-73.94913,Manhattan,C4-7,9,110,215 WEST 125 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,MIDBLOCK,10027,125th Street,Yes,N,Central Harlem South,82536,02/16/2018,04/17/2018,,,1019310021,1022200,"(40.80944756504651, -73.94913392501678)"
11/29/2017,LINK-023794,40.80648,-73.95396,Manhattan,C1-4,9,110,2211 FREDERICK DOUGLASS BOULEVARD,WEST 119 STREET,WEST 120 STREET,NW,10026,,No,N,Central Harlem South,82528,02/16/2018,04/17/2018,,,1019460029,1025700,"(40.80648425, -73.95396445)"
11/29/2017,LINK-023795,40.80782,-73.94952,Manhattan,C2-4,9,110,201 WEST 123 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,NW,10027,,No,N,Central Harlem South,82538,02/16/2018,04/17/2018,,,1019290029,1022200,"(40.80782002695343, -73.94952381358598)"
11/29/2017,LINK-023796,40.81355,-73.94519,Manhattan,C1-4,9,110,2244 ADAM CLAYTON POWELL JR BOULEVARD,WEST 132 STREET,WEST 133 STREET,NW,10027,,No,N,Central Harlem North-Polo Grounds,82537,02/16/2018,04/17/2018,,,1019380029,1022600,"(40.81355136, -73.94519057)"
11/29/2017,LINK-023797,40.81487,-73.94423,Manhattan,C1-4,9,110,2286 ADAM CLAYTON POWELL JR BOULEVARD,WEST 134 STREET,WEST 135 STREET,NE,10030,,No,N,Central Harlem North-Polo Grounds,82539,02/16/2018,04/17/2018,,,1019400129,1022800,"(40.81487062, -73.94422922)"
11/29/2017,LINK-023798,40.81617,-73.94328,Manhattan,C1-4,9,110,2320 ADAM CLAYTON POWELL JR BOULEVARD,WEST 136 STREET,WEST 137 STREET,NE,10030,,No,N,Central Harlem North-Polo Grounds,82540,02/16/2018,04/17/2018,,,1019420029,1022800,"(40.81616997, -73.94328166)"
11/29/2017,LINK-023799,40.81564,-73.94367,Manhattan,C1-4,9,110,2304 ADAM CLAYTON POWELL JR BOULEVARD,WEST 135 STREET,WEST 136 STREET,MIDBLOCK,10030,,No,N,Central Harlem North-Polo Grounds,82541,02/16/2018,04/17/2018,,,1019410031,1022800,"(40.8156372, -73.94367004)"
11/29/2017,LINK-023801,40.82334,-73.94142,Manhattan,C1-4,9,110,2738 FREDERICK DOUGLASS BOULEVARD,WEST 145 STREET,WEST 146 STREET,SE,10039,,No,N,Central Harlem North-Polo Grounds,82543,02/16/2018,04/17/2018,,,1020310003,1023200,"(40.82334035, -73.94142198)"
12/06/2017,LINK-023807,40.80129,-73.94770,Manhattan,C4-5X,9,110,27 WEST 116 STREET,5 AVENUE,MALCOLM X BOULEVARD,MIDBLOCK,10026,,No,N,Central Harlem South,82551,02/16/2018,04/17/2018,,,1016007502,1019000,"(40.80128631, -73.947704)"
10/06/2017,LINK-023809,40.81185,-73.92789,Bronx,M1-4/R7X,8,201,250 rider avenue,E 138th Street,E 139th Street,NE,10451,,No,N,Mott Haven-Port Morris,82395,03/09/2018,05/08/2018,,,2023330010,2005100,"(40.81184635, -73.92788614)"
10/06/2017,LINK-023871,40.73744,-73.88215,Queens,C1-2,25,404,81-08 QUEENS BOULEVARD,CODWISE PLACE,SIMONSON STREET,SE,11373,,No,N,Elmhurst-Maspeth,82388,12/27/2017,02/25/2018,,,4024740040,4047900,"(40.7374359264, -73.8821543668)"
10/06/2017,LINK-023872,40.73689,-73.87926,Queens,C2-2,25,404,84-04 Queens Blvd,VAN LOON ST,GRAND AVE,SE,11373,,No,N,Elmhurst,82389,12/27/2017,02/25/2018,,,4024770002,4047500,"(40.7368899713, -73.8792580969)"
11/08/2017,LINK-023875,40.74944,-73.86737,Queens,C1-4,21,403,98-01 Roosevelt Ave,39 Ave,98 St,NE,11368,,No,N,North Corona,82490,01/19/2018,03/20/2018,,,4017640024,4040900,"(40.7494394236, -73.8673731309)"
11/08/2017,LINK-023876,40.74955,-73.86635,Queens,C1-4,21,403,99-07 Roosevelt Av,99 St,National St,NE,11368,,No,N,North Corona,82492,01/19/2018,03/20/2018,,,4017650044,4040700,"(40.7495544972, -73.8663531557)"
11/08/2017,LINK-024305,40.82211,-73.89711,Bronx,C2-4,17,202,937 WESTCHESTER AVENUE,INTERVALE AVENUE,ROGERS PLACE,NW,10459,,No,N,Longwood,82495,03/09/2018,05/08/2018,,,2026990060,2012901,"(40.82210735, -73.89710558)"
11/08/2017,LINK-024307,40.82382,-73.89396,Bronx,C1-4,17,202,995C WESTCHESTER AVENUE,E. 165 ST,WESTCHESTER AVE,SW,10459,,No,N,Longwood,82501,03/09/2018,05/08/2018,,,2027150049,2012901,"(40.82381955, -73.89396079)"
11/08/2017,LINK-024308,40.82450,-73.89289,Bronx,C1-4,17,202,1031 WESTCHESTER AVENUE,EAST 165 STREET,SIMPSON STREET,NE,10459,Southern Boulevard,Yes,N,Hunts Point,82502,03/09/2018,05/08/2018,,,2027270001,2012701,"(40.82450311, -73.8928854)"
12/12/2017,LINK-024311,40.82610,-73.92045,Bronx,C6-2,16,204,236 EAST 161 STREET,SHERMAN AVE,CONCOURSE VILLAGE EAST,SW,10451,161st Street,Yes,N,East Concourse-Concourse Village,82560,02/16/2018,04/17/2018,,,2024430090,2006100,"(40.82610181, -73.92045196)"
11/08/2017,LINK-024723,40.82012,-73.91604,Bronx,C1-4,17,201,707 Melrose Ave,E. 155 STREET,E.154 STREET,SW,10455,,No,N,Melrose South-Mott Haven North,82496,03/09/2018,05/08/2018,,,2024010022,2006700,"(40.8201219701967, -73.91604348098565)"
